Observation_Id,Main_Incoming_Water,Packed_Volume,Beer_Brewed_HG,Racked_Volume,Filter_Total_volume,Line_1_Packed_Volume,Line_2_Packed_Volume,Line_3_Packed_Volume,Line_4_Packed_Volume,Line_5_Packed_Volume,Line_6_Packed_Volume
OBS100001,12.95082,3416,7201.5,9084,12037,0,0,0,3416,0,0
OBS100002,3.49803,23659,19939,17673,22538,4870,1249,5211,4958,7134,3423
OBS100003,5.79304,10920,7236,2972,12694,4610,1939,0,4460,0,4966
OBS100004,4.69957,16959,14558.5,6428,24529,3854,0,6248,2175.75,4132,2622
OBS100005,5.68651,10445.77,15142,10193,11571,3262,0,0,0,7183,0
OBS100006,3.87739,19317.14,21070,17700,21389,3939,1064,3450,3622,5474,1768
OBS100007,4.29845,14019,13869.5,12115,18320,0,2222,5103,3046,499,2699
OBS100008,3.02323,18080,1921,14190,12576,3407,2522,0,5149,3548,2818
OBS100009,2.90867,30636,18330,16851,36612,4818,465,9796,5322,6696,3539
OBS100010,7.39849,8349,15118,11392,15723,2451,2354,0,3544,0,0
OBS100011,54.11613,775,9143,12770,15307,0,0,75,0,37,5377
OBS100012,4.51145,15582.59,19968,20142,19752,0,964,1541,5184,6696,1199
OBS100013,0.87528,78272,13078,13763,24280,2782,873,62949,4913,5615,4288.28
OBS100014,10.16083,4912,9316,19412,16675,0,0,670,3909,0,3828
OBS100015,12.90029,2748,9369.5,14005,18561,0,0,2291,0,36,5716
OBS100016,3.03105,24216,11678,14194,31187,3788,3084,6025,3646,3016,4024
OBS100017,3.35177,27669,20550.5,15115,27727,4915,1517,8495,3257,8537,5584
OBS100018,25.68953,1385,5329,16717,6778,0,1385,0,0,0,0
OBS100019,3.82882,17572,17995.5,13317,15777,0,1874,0,5474,7876,2004
OBS100020,26.29924,2513,8168,15801,25683,3330,1417,9755,3406,0,2332
OBS100021,3.07308,22837,13253.5,12058,22775,4699,1643,5831,2947,6769,6389
OBS100022,5.88443,10228.68,15787,11194,18521,0,0,0,4227,6001,0
OBS100023,61.07446,1061,11038,14362,16072,3902,1861,6024,1061,2674,0
OBS100024,6.13844,11933,14149.5,15788,13258,4493,2152,0,5288,0,0
OBS100025,2.75539,23699,9431,6715,29997,4061,0,6942,4574,4602,2986
OBS100026,7.66843,10761,17398,15356,22882,3517,2109,0,5135,0,0
OBS100027,11.56475,6934,23307,16627,23605,0,1745,0,5189,0,0
OBS100028,3.69434,21468,18281.5,7263,25108,3318,0,8928,4837,4362,3313
OBS100029,5.59475,14141.84,13183.5,6920,27286,3915,1755,0,3631,0,4840.84
OBS100030,3.23801,24058,14633,11985,38602,3130,537,7683,4066,7635,1007
OBS100031,9.11336,,17485.5,15370,16135,0,0,0,5153,304,4972.97
OBS100032,3.093,22011,18387,11741,30030,4220,1331,5927,5419,4553,3379
OBS100033,4.00841,20684,18260,15897,25328,4856,2803,0,5422,7533,4603
OBS100034,7.3129,7242,14029.5,17519,14534,0,1337,0,2280,3270,0
OBS100035,2.96844,23386,15457,12438,16239,4170,1171,6091,1654,6714,3243
OBS100036,4.05893,14457,17434.5,8791,16221,0,2759,0,5308,6389,0
OBS100037,23.15168,3303,17969,9728,10697,0,1759,709,0,0,3472
OBS100038,3.39941,20533,16956,15898,16966,3903,0,6037,1240,5489,3379
OBS100039,4.61794,17772,18975,13593,26130,3383,1203,0,4523,8345,4610
OBS100040,3.03639,25033,15146.5,12580,23137,4110,2288,5267,1857,5817,5167
OBS100041,4.03017,19158,16490,17007,28806,3986,2463,8203,5303,5728,0
OBS100042,3.86602,14868,12338.5,16968,15426,4799,0,0,5178,0,4562
OBS100043,2.7873,23786.5,10428,17304,24047,3647,905,6772,3386,6820,1670
OBS100044,3.37688,24191,18329,14442,20970,4250,1640,5763,4755,7247,4101.89
OBS100045,2.75048,30925.48,14111,14632,25742,3566,1485,9504,2361,7852,5489.48
OBS100046,4.12812,15954,15474.5,13579,20101,0,3420,0,4920,7316,0
