Observation_Id,Main_Incoming_Water,Condensate_return_Percent,CO2_plant_litres_per_kg_collected,CO2_plant_Foam_Trap_Fresh_water_Usage,Total_Hot_Water_Production,Hot_Water_temperature,W85_make_up_water,Brewhouse_CIP_Water_usage,Cellars_CIP_Water,D_water_ratio,Non_Dilution_Dwater_per_Packed,Filtration_CIP_Water_Usage,Line_1_Bottle_Washer,Line_1_Filler,Line_1_Vacuum_Pump,WCA_Pack_Foamers_Line_1_Water,WCA_Chain_Lube_Line_1,WCA_Crate_Washer_Line_1_Water,Line_2_Filler,Line_2_Rinser,Line_2_Vacuum_Pump,WCA_Pack_Foamers_Line_2_Water,WCA_Chain_Lube_Line_2,Line_3_Filler,Line_3_Rinser,WCA_Bottle_Washer_Line_4_Water,WOA_Filler_Line_4_water,WCA_Vacuum_Pump_Line_4_Water,WCA_Bottle_Washer_Line_5_Water,WOA_Filler_Line_5,WCA_Vacuum_Pump_Line_5_Water,WCA_PWR_Make_Up_Water,WCA_Pasteurizer_Total_Water,Packaging_CIP_Water
OBS300001,2.525106451,64.44195802,0.931503705,0.182973942,1.67298669,67.82050767,0.227805897,0.099003864,0,-0.242826095,0.100184783,0.08200605,498.9562118,0.096741344,0,0.015274949,0,0.066191446,0.382562278,0.106761566,0,0.453736655,0,0,0.062313061,234.2465753,0.014611872,0.0456621,279.9824737,0.023785679,0.072608913,0,0.083152567,0.031332851
OBS300002,2.650964467,84.99900169,1.018380849,0.129612108,1.637261429,71.44174353,0.213401015,0.100284045,0.194923858,-0.144056639,0.066030457,0.08024377,520.5743137,0.063111392,0,0.034711265,0,0.056800252,0.316789863,0.073917635,0,0.369588173,0,0,0.084559445,432.7453142,0.049614112,0.036751194,276.4993442,0.019077143,0.075116251,0,0.012588832,0.03248731
OBS300003,3.736304897,90.25966237,1.3591033,0.179504209,2.075375572,63.34155673,0.410806255,0.600376876,0.168555108,-0.172933106,0.173892687,0.202138173,437.0309951,0.057096248,0,0.028548124,0,0.048939641,0.359550562,0.04494382,0,0.359550562,0,1.912878788,0.946969697,354.2234332,0.136239782,0.059037239,322.3375754,0.037954901,0.104934137,0,0.002809252,0.074913381
OBS300004,5.380859375,72.38719996,20.54272556,0,6.837425691,37.16947701,1.357003348,0.280019422,0.362723214,-0.215911422,0.149972098,0.402440933,543.7417364,0.044072279,0,0.039665051,0,0,0.18908698,0.075634792,0,0.043219881,0,0,0.017468469,876.5678449,0.1995439,0.034207526,414.0276081,0.039161646,0.005695774,0,0.157645089,0.104631696
OBS300005,5.793040293,88.87179691,20.16063473,1.300686112,1.756495301,68.56178721,0.376373626,0.005360409,0.192307692,-0.187789512,0.188644689,0.14710601,360.9110629,0.054229935,0,0.041214751,0,0.047722343,0.211449201,0.067044868,0,0.046415678,0,0.273268398,0.135281385,339.6860987,0.069506726,0.040358744,479.014142,0.024312132,0.035500146,0,1.134615385,0.068681319
OBS300006,6.271389144,88.26307581,43.03558308,6.297890207,1.2350783,71.39297656,0.294572217,0.00341055,0.165593376,-0.126428331,0.301471941,0.181045954,501.663961,0.051406926,0,0.054112554,0,0.062229437,0.262681159,0.081521739,0.009057971,0.054347826,0,0.078076685,0.038651824,298.5278081,0.065430752,0.041802981,659.2679253,0.043068887,0.006989952,0,0.850045998,0.069917203
OBS300007,8.195655002,70.91198257,2.440500099,0.305062512,1.426172887,67.34565156,0.593859763,0.004998772,0.325224405,-0.155081753,0.299726811,0.193348801,466.8171558,0.037622272,0,0,0,0.032605969,0.425531915,0.081833061,0,0.032733224,0,0.164238198,0.081306038,399.0776871,0.099326002,0.042568287,6319.609611,0.026875498,0,0,1.572785222,0.098868219
OBS300008,6.622080256,91.00203763,115.6631209,0.234214892,1.152989989,68.6985632,0.419944101,0.000977934,0.269514873,-0.182494666,0.110900379,0.161764706,767.2309553,0,0,0,0,0,0.15434606,0.064987815,0,0,0,0,0.102333197,368.1084715,0.040340654,0.040340654,653.0826667,0.015243902,0,0,0.895388301,0.076861649
OBS300009,21.5761095,49.20104469,1.66564877,0.185072086,1.863502483,68.92472332,1.357113231,0.002578135,0.788054749,-0.138312832,0.755703028,0.398895207,372.7838258,0,0,0,0,0,0,0,0,0.029498525,0,0.06297936,1.176609047,691.1262799,0.170648464,0,7473.624472,0.011631596,0,0,2.695976773,0.319369556
OBS300010,7.891402715,87.90377968,1.473919003,0.196522534,2.455315384,60.29442162,1.133936652,0.023735863,0.407239819,-0.161108219,0.366742081,0.341463827,379.2638243,0.021030228,0,0.014044804,0.020907089,0.026148358,0.101712683,0,0,0.004214075,0,0,0,818.8908146,0.093587522,0.065857886,1544.280266,0.022063257,0.02956785,0,0.536199095,0.174208145
